,"SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA",,,,,,,,,,,,,,
,"CENTRO NACIONAL DE INFORMACIÓN",,,,,,,,,,,,,,
,"INSTRUMENTO PARA EL REGISTRO, CLASIFICACIÓN Y REPORTE DE DELITOS Y LAS VÍCTIMAS CNSP/38/15",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Víctimas de delitos del fuero común1/",,,,,,,,,,,,,,
,"Nacional, 2019",,,,,,,,,,,,,,
,,,"Mes",,,,,,,,,,,,
,"Clave","Tipo de delito, subtipo y modalidad","Enero ","Febrero","Marzo","Abril","Mayo","Junio","Julio ","Agosto","Septiembre","Octubre","Noviembre","Diciembre","Total"
,"Total de víctimas mensual ",,25202,26563,29890,28856,31780,30293,29210,30182,29276,29989,27711,27291,346243
,1,"Víctimas de delitos contra la vida y la integridad corporal",21573,22520,26042,24968,27788,26066,25425,25946,25699,25945,24014,23920,299906
,1.1,"Homicidio",4240,4141,4506,4241,4581,4388,4380,4358,4308,4304,4343,4620,52410
,"1.1.1","   Homicidio doloso",2870,2818,2869,2749,2913,3006,2974,2956,2844,2878,2930,2882,34689
,"1.1.1.1","      Con arma de fuego",2103,2038,1976,1933,2033,2167,2122,2047,1943,2010,2066,2000,24438
,"1.1.1.2","      Con arma blanca",232,250,286,216,264,256,281,262,240,217,214,252,2970
,"1.1.1.3","      Con otro elemento",494,459,514,503,496,491,478,576,518,556,505,490,6080
,"1.1.1.4","      No especificado",41,71,93,97,120,92,93,71,143,95,145,140,1201
,"1.1.2","   Homicidio culposo",1370,1323,1637,1492,1668,1382,1406,1402,1464,1426,1413,1738,17721
,"1.1.2.1","      Con arma de fuego",4,6,7,2,10,5,7,8,6,4,3,8,70
,"1.1.2.2","      Con arma blanca",0,1,0,0,1,0,0,0,2,1,0,0,5
,"1.1.2.3","      En accidente de tránsito",970,1030,1249,1097,1152,1010,1026,1004,1115,1109,1124,1339,13225
,"1.1.2.4","      Con otro elemento",352,241,307,350,444,320,322,327,296,275,220,314,3768
,"1.1.2.5","      No especificado",44,45,74,43,61,47,51,63,45,37,66,77,653
,1.2,"Lesiones",16599,17642,20615,19813,22215,20752,19807,20319,20223,20541,18620,18384,235530
,"1.2.1","   Lesiones dolosas",12693,13620,15830,15592,17740,16543,15372,15789,15532,15600,13876,13750,181937
,"1.2.1.1","      Con arma de fuego",1110,1059,1060,1065,1085,1083,933,1139,1028,939,905,1026,12432
,"1.2.1.2","      Con arma blanca",856,884,1040,1035,1148,1062,995,1017,1073,1041,886,856,11893
,"1.2.1.3","      Con otro elemento",9549,10523,12175,11998,13742,12547,11424,11947,11714,12014,10467,10342,138442
,"1.2.1.4","      No especificado",1178,1154,1555,1494,1765,1851,2020,1686,1717,1606,1618,1526,19170
,"1.2.2","   Lesiones culposas",3906,4022,4785,4221,4475,4209,4435,4530,4691,4941,4744,4634,53593
,"1.2.2.1","      Con arma de fuego",33,48,41,36,37,36,44,43,50,45,53,34,500
,"1.2.2.2","      Con arma blanca",12,6,20,19,17,21,12,13,17,14,16,16,183
,"1.2.2.3","      En accidente de tránsito",2528,2679,2970,2746,3022,2774,2845,3021,3144,3446,3234,2954,35363
,"1.2.2.4","      Con otro elemento",805,831,1146,848,828,925,1036,904,971,859,928,956,11037
,"1.2.2.5","      No especificado",528,458,608,572,571,453,498,549,509,577,513,674,6510
,1.3,"Feminicidio",72,70,83,68,80,79,88,94,89,72,81,96,972
