,"SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA",,,,,,,,,,,,,,
,"CENTRO NACIONAL DE INFORMACIÓN",,,,,,,,,,,,,,
,"INSTRUMENTO PARA EL REGISTRO, CLASIFICACIÓN Y REPORTE DE DELITOS Y LAS VÍCTIMAS CNSP/38/15",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Víctimas de delitos del fuero común1/",,,,,,,,,,,,,,
,"Nacional, 2020",,,,,,,,,,,,,,
,,,"Mes",,,,,,,,,,,,
,"Clave","Tipo de delito, subtipo y modalidad","Enero ","Febrero","Marzo","Abril","Mayo","Junio","Julio ","Agosto","Septiembre","Octubre","Noviembre","Diciembre","Total"
,"Total de víctimas mensual ",,25993,28101,29993,22752,21637,24862,26144,26963,27603,28901,26674,25937,315560
,1,"Víctimas de delitos contra la vida y la integridad corporal",22260,24058,25980,19888,18703,21487,22586,23212,23573,24819,23046,22496,272108
,1.1,"Homicidio",4428,4202,4634,4231,4063,4112,4265,4417,4080,4491,4279,4239,51441
,"1.1.1","   Homicidio doloso",2996,2777,3041,2936,2928,2878,2995,2990,2743,2957,2690,2633,34564
,"1.1.1.1","      Con arma de fuego",2100,2036,2180,2197,2114,2040,2151,2004,1903,2003,1836,1851,24415
,"1.1.1.2","      Con arma blanca",196,229,232,220,239,252,233,293,222,222,222,215,2775
,"1.1.1.3","      Con otro elemento",645,431,539,445,466,490,504,562,512,595,482,404,6075
,"1.1.1.4","      No especificado",55,81,90,74,109,96,107,131,106,137,150,163,1299
,"1.1.2","   Homicidio culposo",1432,1425,1593,1295,1135,1234,1270,1427,1337,1534,1589,1606,16877
,"1.1.2.1","      Con arma de fuego",4,3,5,5,6,3,10,6,4,6,10,5,67
,"1.1.2.2","      Con arma blanca",1,1,1,0,0,0,1,2,2,0,1,1,10
,"1.1.2.3","      En accidente de tránsito",1091,1095,1187,970,854,950,944,1090,1041,1190,1266,1307,12985
,"1.1.2.4","      Con otro elemento",281,245,321,273,222,228,234,248,218,278,244,224,3016
,"1.1.2.5","      No especificado",55,81,79,47,53,53,81,81,72,60,68,69,799
,1.2,"Lesiones",16865,18785,20152,14701,13464,16252,17074,17577,18241,19107,17615,16987,206820
,"1.2.1","   Lesiones dolosas",12663,14146,15338,11846,10941,13056,13661,13981,14279,14772,13536,12853,161072
,"1.2.1.1","      Con arma de fuego",857,885,1033,930,818,831,895,826,848,870,831,827,10451
,"1.2.1.2","      Con arma blanca",790,791,943,745,704,947,989,920,963,958,872,874,10496
,"1.2.1.3","      Con otro elemento",9519,10819,11866,9219,8324,9720,10262,10629,10735,11398,10395,9824,122710
,"1.2.1.4","      No especificado",1497,1651,1496,952,1095,1558,1515,1606,1733,1546,1438,1328,17415
,"1.2.2","   Lesiones culposas",4202,4639,4814,2855,2523,3196,3413,3596,3962,4335,4079,4134,45748
,"1.2.2.1","      Con arma de fuego",42,41,55,39,44,31,37,15,16,9,23,18,370
,"1.2.2.2","      Con arma blanca",22,16,21,15,5,16,11,8,2,4,13,3,136
,"1.2.2.3","      En accidente de tránsito",2821,3083,3001,1744,1645,2058,2106,2506,2862,3139,2921,3102,30988
,"1.2.2.4","      Con otro elemento",851,1029,1162,737,579,706,764,575,546,642,614,535,8740
,"1.2.2.5","      No especificado",466,470,575,320,250,385,495,492,536,541,508,476,5514
,1.3,"Feminicidio",75,92,77,73,74,97,76,75,82,82,88,84,975
